Stock,VaR@90%,VaR@95%,VaR@99%
Cboe Global Markets,-3844.7242215747992,-5053.988636581558,-6991.441763900341
CBRE Group,-5365.764444662848,-6989.164046756167,-9179.510840005027
CDW,-3386.6329097805014,-4532.569327052822,-6454.367777243245
Celanese,-4718.404730270005,-6160.84784153053,-8567.302304786597
Cencora,-3204.814473735217,-4261.373980406309,-5829.813811402219
Centene Corporation,-5463.685775689558,-6887.862731180548,-9443.564677956207
CenterPoint Energy,-3170.8452029679584,-4205.051104329935,-5778.492207290316
CF Industries,-7181.0533601718125,-9094.563732058308,-12164.386804712221
CH Robinson,-3227.047503308668,-4265.304475920185,-6210.736543719993
Charles River Laboratories,-5041.667271930844,-6427.387577947156,-8581.505388960506
Charles Schwab Corporation,-5872.337202538799,-7375.713821301291,-9908.346876360922
Charter Communications,-5333.057490805108,-6875.845651236476,-9403.369585836996
Chevron Corporation,-3726.9505834661477,-4871.533969221586,-6854.351132395523
Chipotle Mexican Grill,-6960.837646501009,-8665.938619726841,-11732.799474965497
Chubb Limited,-2410.5020715950905,-3179.720641904464,-4787.208382526974
Church & Dwight,-2599.945613215392,-3562.394373597529,-5377.878204640656
Cigna,-3987.681560369658,-5157.657672005911,-7448.602305133353
Cincinnati Financial,-3960.0714550090775,-5122.8010190724035,-7075.27091606336
Cintas,-3259.152835161442,-4275.2973612793885,-5979.553317350964
Cisco,-3566.8675839587604,-4636.133392326827,-6329.82048758495
Citigroup,-5140.923450192588,-6458.399259775533,-9382.521875626628
Citizens Financial Group,-6737.001388846496,-8339.764670536819,-11086.948834963892
Clorox,-2731.0604445877557,-3532.0233077428975,-5169.2014333384095
CME Group,-3158.986577719505,-4206.852452848607,-5861.049026492789
CMS Energy,-1998.4827915847782,-2680.944933985071,-4056.32017243967
Coca-Cola Company (The),-1489.078297342156,-2204.2194404837487,-3339.8562446982637
Cognizant,-4177.621273207989,-5269.083019461155,-7520.007149422717
Colgate-Palmolive,-1524.4343174532569,-2151.0961678380554,-3264.215205549815
Comcast,-3411.6166980265048,-4552.994370731611,-6523.859761415979
Conagra Brands,-3154.890090303319,-4219.575214367507,-5990.384892771661
ConocoPhillips,-5508.957668477886,-6867.864703693883,-9316.347995523807
Consolidated Edison,-1879.1646591928888,-2611.4337730917778,-3958.991878212468
Constellation Brands,-4515.163093404484,-5853.528398430097,-8194.560282233875
Constellation Energy,-7274.989325992293,-9102.672074802285,-12425.900058732457
Cooper Companies (The),-4028.2311017325155,-5232.6082365065695,-7083.580776883775
Copart,-4591.605034106632,-5872.940319503269,-8225.234174401849
Corning Inc.,-4638.620554734968,-6071.1545851940455,-8268.124544980663
Corpay,-5439.383747775037,-6875.617592562719,-9684.673678932995
Corteva,-5179.7370945030025,-6483.686614067125,-9188.060484168238
CoStar Group,-5288.667330974829,-6717.050754691175,-9301.519836159527
Costco,-2730.0888968960103,-3602.611509015474,-5213.153444778789
Coterra,-6333.025706030665,-7903.268322108876,-10745.772134512365
CrowdStrike,-13164.365968133343,-15327.316498565076,-19105.522949246406
Crown Castle,-2866.2903028091077,-3777.1926307234808,-5170.527680398148
CSX,-4302.655229737492,-5639.98769249409,-7825.013765859128
