,Percentage_VaR @90%,Percentage_VaR @95%,Percentage_VaR @99%
"Tapestry, Inc.",-98.65,-99.33,-99.81
Targa Resources,-99.81,-99.92,-99.99
Target Corporation,-91.76,-94.83,-98.04
TE Connectivity,-90.78,-94.12,-97.6
Teledyne Technologies,-91.18,-94.66,-97.72
Teleflex,-89.68,-94.12,-97.52
Teradyne,-98.19,-99.05,-99.76
"Tesla, Inc.",-99.94,-99.98,-100.0
Texas Instruments,-90.88,-94.22,-97.54
Textron,-97.01,-98.28,-99.45
Thermo Fisher Scientific,-87.51,-92.31,-96.63
TJX Companies,-89.06,-93.01,-97.03
Tractor Supply,-92.65,-95.92,-98.43
Trane Technologies,-91.43,-94.71,-97.97
TransDigm Group,-94.92,-97.16,-99.07
Travelers Companies (The),-83.84,-88.62,-94.77
Trimble Inc.,-96.59,-98.13,-99.52
Truist,-94.89,-97.03,-99.07
Tyler Technologies,-92.7,-95.47,-98.29
Tyson Foods,-92.52,-95.47,-98.36
U.S. Bank,-91.76,-95.03,-98.12
Uber,-99.9,-99.96,-100.0
"UDR, Inc.",-88.82,-92.66,-96.86
Ulta Beauty,-98.42,-99.22,-99.8
Union Pacific Corporation,-88.15,-92.54,-97.05
United Airlines Holdings,-99.69,-99.87,-99.98
United Parcel Service,-85.29,-89.85,-95.41
United Rentals,-99.46,-99.78,-99.96
UnitedHealth Group,-88.42,-92.51,-96.89
Universal Health Services,-95.87,-97.74,-99.32
Valero Energy,-98.36,-99.23,-99.8
Ventas,-95.95,-97.82,-99.33
Veralto,-91.31,-94.54,-97.9
Verisign,-90.11,-93.68,-97.43
Verisk,-82.13,-87.67,-94.6
Verizon,-73.66,-81.46,-90.98
Vertex Pharmaceuticals,-98.99,-99.53,-99.89
Viatris,-97.09,-98.46,-99.49
Vici Properties,-96.12,-97.82,-99.27
Visa Inc.,-87.99,-92.34,-96.88
Vistra,-97.36,-98.58,-99.53
Vulcan Materials Company,-95.42,-97.31,-99.09
W. R. Berkley Corporation,-81.92,-88.32,-94.86
W. W. Grainger,-90.58,-94.15,-97.55
Wabtec,-94.42,-96.65,-98.88
Walgreens Boots Alliance,-92.7,-95.68,-98.37
Walmart,-76.07,-83.11,-90.34
Walt Disney Company (The),-89.68,-93.43,-97.47
Warner Bros. Discovery,-98.37,-99.23,-99.8
Waste Management,-74.02,-81.46,-89.68
Waters Corporation,-90.77,-94.43,-97.87
WEC Energy Group,-79.63,-85.61,-93.11
Wells Fargo,-93.21,-96.25,-98.79
Welltower,-93.23,-95.91,-98.55
West Pharmaceutical Services,-91.08,-94.7,-97.7
Western Digital,-99.21,-99.65,-99.92
WestRock,-97.79,-98.9,-99.74
Weyerhaeuser,-98.73,-99.39,-99.87
Williams Companies,-98.17,-99.07,-99.75
Willis Towers Watson,-83.45,-89.16,-95.03
Wynn Resorts,-99.51,-99.8,-99.95
Xcel Energy,-77.2,-83.89,-92.13
Xylem Inc.,-90.25,-93.81,-97.48
Yum! Brands,-86.79,-91.17,-96.19
Zebra Technologies,-97.58,-98.8,-99.65
Zimmer Biomet,-88.85,-92.93,-97.14
Zoetis,-89.34,-93.42,-96.79
