Stock,avg_returns,avg_volatility,Avg_Annual_Returns,Avg_Annual_Volatility,Sharpe_Ratio
Cooper Companies (The),0.09874595260577461,0.17112717288424018,0.23651889116174563,0.38125255255718854,0.545306360489421
Copart,0.13453454280376337,0.18100407453017886,0.319921833162066,0.4231085873771537,0.7132730374133758
Corning Inc.,0.03867650016176209,0.1850024413739658,0.11306509055351611,0.4064335906579152,0.1797126737107758
Corpay,0.10710032506191254,0.2143225476267646,0.27159133937851304,0.5080550825489901,0.47438363069266826
Corteva,0.09232646827188547,0.20596128726347523,0.2355609396459439,0.4867499094410729,0.42191060585719115
CoStar Group,0.13206912653607425,0.2057408628105216,0.32389783215480694,0.4789420707548799,0.6155311493627713
Costco,0.10221674614303636,0.12018663885649075,0.22932249625005538,0.27004387558224235,0.8053102265317543
Coterra,0.0655161055183191,0.24887732150470337,0.19724696541886982,0.5823665511387269,0.24143175591737437
CrowdStrike,0.2924817176456193,0.519748054109081,0.9404139516480878,1.5705724228536744,0.5522916316795852
Crown Castle,0.04408805176929688,0.1259543094282327,0.1059798588084975,0.25888302375060607,0.3069274498456012
CSX,0.08116296092486454,0.17607379319959943,0.1999065562372348,0.40862719958487703,0.4301250218400542
Cummins,0.07032212995706255,0.18361047552388574,0.17929272903745455,0.41178157133786786,0.35342707431306136
CVS Health,0.03655002813372844,0.15802514093509892,0.09940083979318484,0.32666841191473944,0.1969358240729818
Danaher Corporation,0.09141529596819113,0.13145612494665038,0.20846317121416627,0.29865806152669416,0.654104776203176
Darden Restaurants,0.06861681549542951,0.18527952787929228,0.17626068802937095,0.4414564166917847,0.34103929041296965
DaVita Inc.,0.06828901838068442,0.18433508313034916,0.17521123466179653,0.40890879158038235,0.341008344878162
Dayforce,0.07999736841739602,0.2536357968130455,0.23068082078809024,0.5443037576422496,0.29399695380117985
Deckers Brands,0.15725096434599187,0.30065187237363916,0.42959576515379466,0.7028578010941283,0.5049752272218937
Deere & Company,0.08678197591677335,0.20184715670797876,0.22182580919142564,0.49691209691754623,0.4030413926268198
Delta Air Lines,0.08116139051126257,0.26957534244894776,0.2415602542425749,0.6174354187520794,0.2809313828329054
Devon Energy,0.0444782663571071,0.36649040522890014,0.2252120594475467,0.9792890044249961,0.10654862725067102
