Name,avg_returns,avg_volatility,avg_annual_returns,avg_annual_volatility,sharpe_ratio
Cincinnati Financial,0.19054664533304702,0.25759986484790076,0.11765259612308697,0.1597507128856138,0.5988979484054149
Cintas,0.41940728101175706,0.19095536684570427,0.26047540729113694,0.11298929833972551,2.0064199952819965
Cisco,0.12875101140272968,0.2194314750623389,0.0793531996875177,0.1424078396053706,0.421454563937692
Citigroup,0.06669491053864163,0.33238555060175595,0.03327167579971047,0.21214929297362947,0.09153314792846406
Citizens Financial Group,0.12720394331392523,0.4452550521412012,0.06593313104588447,0.2744315556611371,0.20422750536014345
Clorox,0.11654668698466647,0.17729425055644696,0.07304256792511224,0.11663925311405239,0.4527844076533156
CME Group,0.17151862521622108,0.21923179571501333,0.10689062980400355,0.13956085831120735,0.616917860883224
CMS Energy,0.16270804713979212,0.1466032928796097,0.10370170380633663,0.09413046442169465,0.8624460603179982
Coca-Cola Company (The),0.09109310025851444,0.10284875946517065,0.05881089707969981,0.06622747548314205,0.5330398322495349
Cognizant,0.12354385345937444,0.25982161330906495,0.07432628242543211,0.16639535232295863,0.33589676232759513
Colgate-Palmolive,0.08804216069545331,0.12781581734248676,0.0562531434914372,0.08263260919282747,0.4050480371345794
Comcast,0.20872088768767694,0.26846580361810374,0.12822821896683412,0.17022876413738927,0.6423547081134501
Comerica,0.14292391578505748,0.513199489084341,0.06990559751561273,0.31865344308341503,0.2078203569711711
Conagra Brands,0.08781293454359598,0.20381793062256187,0.05356631184710927,0.13224711603950565,0.25288412859473575
ConocoPhillips,0.19846697072715722,0.48855781501261614,0.10928154405730595,0.2942620677506215,0.33199009610938607
Consolidated Edison,0.08966021999554229,0.14323749920549408,0.05685338078444053,0.0932206125840512,0.3727348321881853
Constellation Brands,0.43294402006993604,0.5362804055507109,0.2538372656560001,0.29950559642486524,0.7396753660922248
Constellation Energy,1.043252819965903,0.18558036676671155,0.6087052542850004,0.09825888939118492,5.426124663637657
CooperCompanies,0.2921985720805694,0.28763778238785737,0.17978539365340926,0.17623484202979148,0.8897577890839915
Copart,0.4383694348427998,0.31276581110588664,0.2674482755586645,0.1853128902506285,1.2856226793296865
Corning Inc.,0.11024174933823523,0.3240147595139267,0.06222907996821601,0.20672773302581474,0.22829557111249033
Corpay,0.389501470040687,0.5946573959946296,0.22381379276383065,0.3317173210400933,0.594007335406537
Corteva,0.3873874506163412,0.33449333458006936,0.23543309171203963,0.20390781835840502,1.0496975561292252
CoStar Group,0.4455871324573176,0.41722587734135713,0.26683408083257326,0.24379233992830981,0.9810429791637887
Costco,0.29828144723881184,0.16585251870043946,0.18793346547417816,0.10124713903120972,1.579782052908856
Coterra,0.20880224496592156,0.48417790720450327,0.11580515032879742,0.2943144652119593,0.3563393282356477
Crown Castle,0.16152072149643384,0.2553182547717592,0.09851132948707743,0.1667639795176004,0.4905646360550036
CSX,0.2456795400751309,0.33661071444012813,0.1487926437155683,0.20413538979674492,0.6221101002601944
Cummins,0.16534816170420896,0.27615901682037264,0.10056047361335997,0.1738966963567261,0.4674029782704514
CVS Health,0.14662771096996186,0.3217923951447843,0.08573867812746752,0.20593178186486194,0.34294501010249695
Danaher Corporation,0.29495172296110117,0.2603870865603766,0.18290892749293455,0.15677899640110296,0.993448298884795
