Stock,CurrentPrice,BestPrice,AvgPrice,LeastPrice,%Prob of Return>=SustainableTarget,%Prob of Return>RiskFreeRate
Vistra,76.47,198.05,79.03,27.11,34.92,58.0
Vulcan Materials Company,256.14,592.04,263.88,120.83,34.1,59.18
W. R. Berkley Corporation,51.54,91.66,52.24,30.56,27.0,63.96
W. W. Grainger,945.83,1855.66,958.63,375.05,29.6,60.94
Wabtec,165.19,353.88,168.43,79.87,31.66,59.08
Walgreens Boots Alliance,11.01,23.16,11.26,4.99,32.74,60.28
Walmart,70.75,113.94,71.48,43.21,23.62,66.46
Walt Disney Company (The),95.74,181.36,97.35,50.11,29.56,61.44
Warner Bros. Discovery,8.67,22.67,9.06,3.27,37.62,58.92
Waste Management,222.8,393.47,224.74,136.56,22.28,65.88
Waters Corporation,302.72,607.47,309.24,144.47,30.78,61.62
WEC Energy Group,81.55,146.44,82.25,46.48,24.68,63.92
Wells Fargo,59.23,141.23,60.5,24.3,32.1,60.36
Welltower,107.41,221.62,109.22,52.16,31.94,58.94
West Pharmaceutical Services,317.92,589.13,324.43,166.35,31.22,61.54
Western Digital,69.82,243.66,73.32,22.63,37.14,57.6
Weyerhaeuser,30.14,89.64,31.4,11.58,36.76,58.3
Williams Companies,44.0,129.93,45.67,14.45,36.34,58.2
Willis Towers Watson,263.13,452.69,266.15,154.36,26.72,63.5
Wynn Resorts,83.43,310.04,88.13,27.2,37.96,56.94
Xcel Energy,55.94,103.47,56.44,28.78,24.12,65.22
Xylem Inc.,137.49,266.22,139.56,71.02,29.7,61.74
Yum! Brands,126.93,233.5,129.04,68.99,28.98,62.26
Zebra Technologies,321.45,831.58,331.96,119.1,35.46,58.4
Zimmer Biomet,110.5,212.53,111.61,58.34,28.4,59.96
Zoetis,178.58,322.29,181.71,89.84,29.94,62.94
